足球是人民体育出版社出版的图书作者是何永超著1	足球是人民体育出版社出版的图书作者是何永超著1
老虎谍战电视剧暗算中的角色由王寅饰演1	老虎谍战电视剧暗算中的角色由王寅饰演1
恒星是张赫宣主唱的一首歌1	恒星是张赫宣主唱的一首歌1
进入某些活动场所的凭证也比喻参加某种赛事或活动的资格争夺参加世界杯决赛的	门票通常是由商业活动的主办方或者旅游景点的管理方负责发行制作销售并监管使用的一种有价票证如公园博物馆体育场等一般是一次性的而且需要花钱购买有时被称为入场券当然也可能是为了促销或答谢老客户等发行的免费门票
钱是1983年上映的美国剧情电影由罗伯特布列松执导克里斯琴佩蒂及马克厄恩斯特等主演钱讲述了一张500元法郎的假钞在很多人之间转手最后落到了一个叫伊文的年轻人手中在他使用这张钱时被发现并被捕入狱从而改变了他的命运	现金是由史蒂夫安德森执导的犯罪片克里斯海姆斯沃斯和肖恩宾等主演该片讲述了SamPhelan和爱妻Leslie在失业后面临支付抵押房贷的困难一天Sam发现一个内藏60多万的美元皮夹随后Pyke寻找到了Sam追回了部分款项这对夫妇已经花去了其中大概75万美元Pyke想要他们在5日内退还余款的故事
银行是由查理卓别林导演艾德娜珀薇安丝主演的一部影片	钱是罗伯特布列松执导的犯罪片克里斯蒂安佩蒂和VincentRisterucci出演该片讲述了小伙子伊万把自己的命运引向不可知的远方的故事
手机是由金汉珉执导金美贤编剧严泰雄朴勇宇主演的惊悚电影于2009年2月19日在韩国上映该片讲述了明星经纪人承珉在丢失手机后的128小时内经历的惊悚故事1	电话是由李聪贤执导朴智恩担任编剧全钟瑞朴信惠领衔主演的惊悚电影1影片讲述了金书妍和吴英淑这两个生活在不同时间线上的女子因为一通电话而发生关联的惊悚故事2该片于2020年11月27日在Netflix线上上映3
宝石是2015年现代出版社出版的图书1	珠宝是2019年中国林业出版社出版的图书1
类型是编程语言中的一个很重要的概念	种类拼音zhngli汉语词语指依据人物事物的品名性质或特点而分的类别种族1
新闻1也叫消息资讯是通过报纸电台广播电视台等媒体途径所传播信息的2一种称谓是记录社会传播信息反映时代的一种文体新闻概念有广义与狭义之分就其广义而言除了发表于报刊广播互联网电视上的评论与专文外的常用文本都属于新闻之列包括消息通讯特写速写有的将速写纳入特写之列等等3狭义的新闻则专指消息消息是用概括的叙述方式比较简明扼要的文字迅速及时地报道国内外新近发生的有价值的事实让别人了解每则新闻一般包括标题电头导语主体背景和结语六部分前四者是主要部分后二者是辅助部分标题导语主体必不可少写法上主要是叙述有时兼有议论描写评论等新闻是包含海量资讯的新闻服务平台真实反映每时每刻的重要事件可以通过查看新闻事件热点话题人物动态产品资讯等快速了解它们的最新进展4	报道是一个汉语词汇读音为bodo指通过报纸杂志广播电视或其他形式把新闻告诉群众或指用书面或广播电视形式发表的新闻稿1
街道为街与道的合称指城镇中的道路而且此类道路两边有连续不断的房屋建筑汉语意境中人口稠密区中有建筑连片区的道路尽管多被冠以街道路马路大道不论其主要功能是什么都可以被认为是街道对于具有良好基础设施与娱乐休闲功能的道路即使两边没有连片建筑设施也被认为是街道但对以车辆通行为主的普通公路和高速公路等很少人会当作街道在规划学领域街道也被看做建筑围合中的一个负空间	街区是城市规划城市设计中的一个重要因素人们通常提到的街区为城市街区在西方国家中例如美国1人口普查的最小颗粒度也是街区每一项人口普查内容都可以按照街区来进行统计因此在人口统计学中街区可以被称为人口统计街区在我国部分城市大型房地产项目被划分成若干街区乃是一个地产品牌一期二期分建而来在地产项目中通常是一个商业概念在城市中街区通常是被道路所包围的区域是城市结构的基本组成单位然而在郊区以及乡镇中道路并不会像城市那么密集因此人口统计街区就还会借助其他一些自然特征或人文特征来进行街区的划分与分割例如行政边界河流湖泊铁路山脉悬崖等对于世界中的绝大多数城市来说城市都是出于规划下而发展的道路通畅纵横交错因此街区的形状通常也是类正方形或长方形
